Komuna,Viti Akademik,Niveli Akademik,Mosha,Gjinia,Numri i nxenesve
Deqan,2021,Fillor mesem i ulet,6-15,Mashkull,1951
Deqan,2021,Fillor mesem i ulet,6-15,Femer,1755
Deqan,2021,Mesem i larte,15-18,Mashkull,551
Deqan,2021,Mesem i larte,15-18,Femer,492
Deqan,2021,Institucionet publike parauniversitare,18-19,Mashkull,2722
Deqan,2021,Institucionet publike parauniversitare,18-19,Femer,2490
Deqan,2022,Para-fillor,5-6,Mashkull,185
Deqan,2022,Para-fillor,5-6,Femer,214
Deqan,2022,Fillor mesem i ulet,6-15,Mashkull,1858
Deqan,2022,Fillor mesem i ulet,6-15,Femer,1729
Deqan,2022,Mesem i larte,15-18,Mashkull,519
Deqan,2022,Mesem i larte,15-18,Femer,463
Deqan,2022,Institucionet publike parauniversitare,18-19,Mashkull,2562
Deqan,2022,Institucionet publike parauniversitare,18-19,Femer,2406
Deqan,2023,Para-fillor,5-6,Mashkull,203
Deqan,2023,Para-fillor,5-6,Femer,174
Deqan,2023,Fillor mesem i ulet,6-15,Mashkull,1781
Deqan,2023,Fillor mesem i ulet,6-15,Femer,1687
Deqan,2023,Mesem i larte,15-18,Mashkull,503
Deqan,2023,Mesem i larte,15-18,Femer,420
Deqan,2023,Institucionet publike parauniversitare,18-19,Mashkull,2487
Deqan,2023,Institucionet publike parauniversitare,18-19,Femer,2281
Ferizaj,2015,Para-fillor,5-6,Mashkull,890
Ferizaj,2015,Para-fillor,5-6,Femer,791
Ferizaj,2015,Fillor mesem i ulet,6-15,Mashkull,8852
Ferizaj,2015,Fillor mesem i ulet,6-15,Femer,8387
Ferizaj,2015,Mesem i larte,15-18,Mashkull,3284
Ferizaj,2015,Mesem i larte,15-18,Femer,3162
Ferizaj,2015,Institucionet publike parauniversitare,18-19,Mashkull,13187
Ferizaj,2015,Institucionet publike parauniversitare,18-19,Femer,12509
Ferizaj,2016,Para-fillor,5-6,Mashkull,827
Ferizaj,2016,Para-fillor,5-6,Femer,792
Ferizaj,2016,Fillor mesem i ulet,6-15,Mashkull,8566
Ferizaj,2016,Fillor mesem i ulet,6-15,Femer,8188
Ferizaj,2016,Mesem i larte,15-18,Mashkull,3529
Ferizaj,2016,Mesem i larte,15-18,Femer,3256
Ferizaj,2016,Institucionet publike parauniversitare,18-19,Mashkull,13077
Ferizaj,2016,Institucionet publike parauniversitare,18-19,Femer,12387
Ferizaj,2017,Para-fillor,5-6,Mashkull,860
Ferizaj,2017,Para-fillor,5-6,Femer,825
Ferizaj,2017,Fillor mesem i ulet,6-15,Mashkull,8331
Ferizaj,2017,Fillor mesem i ulet,6-15,Femer,7992
Ferizaj,2017,Mesem i larte,15-18,Mashkull,3489
Ferizaj,2017,Mesem i larte,15-18,Femer,3293
Ferizaj,2017,Institucionet publike parauniversitare,18-19,Mashkull,12858
Ferizaj,2017,Institucionet publike parauniversitare,18-19,Femer,12235
Ferizaj,2018,Para-fillor,5-6,Mashkull,842
Ferizaj,2018,Para-fillor,5-6,Femer,818
Ferizaj,2018,Fillor mesem i ulet,6-15,Mashkull,8124
Ferizaj,2018,Fillor mesem i ulet,6-15,Femer,7747
Ferizaj,2018,Mesem i larte,15-18,Mashkull,321
Ferizaj,2018,Mesem i larte,15-18,Femer,31
Ferizaj,2018,Institucionet publike parauniversitare,18-19,Mashkull,1236
Ferizaj,2018,Institucionet publike parauniversitare,18-19,Femer,11806
Ferizaj,2019,Para-fillor,5-6,Mashkull,774
Ferizaj,2019,Para-fillor,5-6,Femer,732
Ferizaj,2019,Fillor mesem i ulet,6-15,Mashkull,8006
Ferizaj,2019,Fillor mesem i ulet,6-15,Femer,7816
Ferizaj,2019,Mesem i larte,15-18,Mashkull,3061
Ferizaj,2019,Mesem i larte,15-18,Femer,3159
Ferizaj,2019,Institucionet publike parauniversitare,18-19,Mashkull,11959
Ferizaj,2019,Institucionet publike parauniversitare,18-19,Femer,11800
Ferizaj,2020,Para-fillor,5-6,Mashkull,767
Ferizaj,2020,Para-fillor,5-6,Femer,683
Ferizaj,2020,Fillor mesem i ulet,6-15,Mashkull,7869
Ferizaj,2020,Fillor mesem i ulet,6-15,Femer,7542
Ferizaj,2020,Mesem i larte,15-18,Mashkull,2945
Ferizaj,2020,Mesem i larte,15-18,Femer,3073
Ferizaj,2020,Institucionet publike parauniversitare,18-19,Mashkull,11660
Ferizaj,2020,Institucionet publike parauniversitare,18-19,Femer,11373
Ferizaj,2021,Para-fillor,5-6,Mashkull,769
Ferizaj,2021,Para-fillor,5-6,Femer,781
Ferizaj,2021,Fillor mesem i ulet,6-15,Mashkull,7693
Ferizaj,2021,Fillor mesem i ulet,6-15,Femer,7278
Ferizaj,2021,Mesem i larte,15-18,Mashkull,2975
Ferizaj,2021,Mesem i larte,15-18,Femer,2830
Ferizaj,2021,Institucionet publike parauniversitare,18-19,Mashkull,11546
Ferizaj,2021,Institucionet publike parauniversitare,18-19,Femer,10989
Ferizaj,2022,Para-fillor,5-6,Mashkull,731
Ferizaj,2022,Para-fillor,5-6,Femer,731
Ferizaj,2022,Fillor mesem i ulet,6-15,Mashkull,7561
Ferizaj,2022,Fillor mesem i ulet,6-15,Femer,7477
Ferizaj,2022,Mesem i larte,15-18,Mashkull,2715
Ferizaj,2022,Mesem i larte,15-18,Femer,2800
Ferizaj,2022,Institucionet publike parauniversitare,18-19,Mashkull,11117
Ferizaj,2022,Institucionet publike parauniversitare,18-19,Femer,11127
Ferizaj,2023,Para-fillor,5-6,Mashkull,673
Ferizaj,2023,Para-fillor,5-6,Femer,748
Ferizaj,2023,Fillor mesem i ulet,6-15,Mashkull,7517
Ferizaj,2023,Fillor mesem i ulet,6-15,Femer,7357
Ferizaj,2023,Mesem i larte,15-18,Mashkull,2537
Ferizaj,2023,Mesem i larte,15-18,Femer,2724
Ferizaj,2023,Institucionet publike parauniversitare,18-19,Mashkull,10857
Ferizaj,2023,Institucionet publike parauniversitare,18-19,Femer,10990
Fushe Kosove,2015,Para-fillor,5-6,Mashkull,98
Fushe Kosove,2015,Para-fillor,5-6,Femer,87
Fushe Kosove,2015,Fillor mesem i ulet,6-15,Mashkull,2983
Fushe Kosove,2015,Fillor mesem i ulet,6-15,Femer,2755
Fushe Kosove,2015,Mesem i larte,15-18,Mashkull,751
Fushe Kosove,2015,Mesem i larte,15-18,Femer,747
Fushe Kosove,2015,Institucionet publike parauniversitare,18-19,Mashkull,3894
Fushe Kosove,2015,Institucionet publike parauniversitare,18-19,Femer,3645
Fushe Kosove,2016,Para-fillor,5-6,Mashkull,85
Fushe Kosove,2016,Para-fillor,5-6,Femer,79
Fushe Kosove,2016,Fillor mesem i ulet,6-15,Mashkull,3147
Fushe Kosove,2016,Fillor mesem i ulet,6-15,Femer,2848
Fushe Kosove,2016,Mesem i larte,15-18,Mashkull,787
Fushe Kosove,2016,Mesem i larte,15-18,Femer,816
Fushe Kosove,2016,Institucionet publike parauniversitare,18-19,Mashkull,4094
Fushe Kosove,2016,Institucionet publike parauniversitare,18-19,Femer,3810
Fushe Kosove,2017,Para-fillor,5-6,Mashkull,82
Fushe Kosove,2017,Para-fillor,5-6,Femer,78
Fushe Kosove,2017,Fillor mesem i ulet,6-15,Mashkull,3296
Fushe Kosove,2017,Fillor mesem i ulet,6-15,Femer,2974
Fushe Kosove,2017,Mesem i larte,15-18,Mashkull,801
Fushe Kosove,2017,Mesem i larte,15-18,Femer,875
Fushe Kosove,2017,Institucionet publike parauniversitare,18-19,Mashkull,4261
Fushe Kosove,2017,Institucionet publike parauniversitare,18-19,Femer,3999
Fushe Kosove,2018,Para-fillor,5-6,Mashkull,73
Fushe Kosove,2018,Para-fillor,5-6,Femer,73
Fushe Kosove,2018,Fillor mesem i ulet,6-15,Mashkull,3483
Fushe Kosove,2018,Fillor mesem i ulet,6-15,Femer,3185
Fushe Kosove,2018,Mesem i larte,15-18,Mashkull,744
Fushe Kosove,2018,Mesem i larte,15-18,Femer,858
Fushe Kosove,2018,Institucionet publike parauniversitare,18-19,Mashkull,4369
Fushe Kosove,2018,Institucionet publike parauniversitare,18-19,Femer,4178
Fushe Kosove,2019,Para-fillor,5-6,Mashkull,61
Fushe Kosove,2019,Para-fillor,5-6,Femer,74
Fushe Kosove,2019,Fillor mesem i ulet,6-15,Mashkull,3624
Fushe Kosove,2019,Fillor mesem i ulet,6-15,Femer,3346
Fushe Kosove,2019,Mesem i larte,15-18,Mashkull,755
Fushe Kosove,2019,Mesem i larte,15-18,Femer,809
Fushe Kosove,2019,Institucionet publike parauniversitare,18-19,Mashkull,4528
Fushe Kosove,2019,Institucionet publike parauniversitare,18-19,Femer,4288
Fushe Kosove,2020,Para-fillor,5-6,Mashkull,74
Fushe Kosove,2020,Para-fillor,5-6,Femer,67
Fushe Kosove,2020,Fillor mesem i ulet,6-15,Mashkull,3806
Fushe Kosove,2020,Fillor mesem i ulet,6-15,Femer,3549
Fushe Kosove,2020,Mesem i larte,15-18,Mashkull,754
Fushe Kosove,2020,Mesem i larte,15-18,Femer,774
Fushe Kosove,2020,Institucionet publike parauniversitare,18-19,Mashkull,4702
Fushe Kosove,2020,Institucionet publike parauniversitare,18-19,Femer,4456
Fushe Kosove,2021,Para-fillor,5-6,Mashkull,70
Fushe Kosove,2021,Para-fillor,5-6,Femer,73
Fushe Kosove,2021,Fillor mesem i ulet,6-15,Mashkull,4061
Fushe Kosove,2021,Fillor mesem i ulet,6-15,Femer,3786
Fushe Kosove,2021,Mesem i larte,15-18,Mashkull,735
Fushe Kosove,2021,Mesem i larte,15-18,Femer,745
Fushe Kosove,2021,Institucionet publike parauniversitare,18-19,Mashkull,4930
Fushe Kosove,2021,Institucionet publike parauniversitare,18-19,Femer,4656
Fushe Kosove,2022,Para-fillor,5-6,Mashkull,80
Fushe Kosove,2022,Para-fillor,5-6,Femer,70
Fushe Kosove,2022,Fillor mesem i ulet,6-15,Mashkull,4282
Fushe Kosove,2022,Fillor mesem i ulet,6-15,Femer,4052
Fushe Kosove,2022,Mesem i larte,15-18,Mashkull,686
Fushe Kosove,2022,Mesem i larte,15-18,Femer,689
Fushe Kosove,2022,Institucionet publike parauniversitare,18-19,Mashkull,5124
Fushe Kosove,2022,Institucionet publike parauniversitare,18-19,Femer,4878
Fushe Kosove,2023,Para-fillor,5-6,Mashkull,70
Fushe Kosove,2023,Para-fillor,5-6,Femer,70
Fushe Kosove,2023,Fillor mesem i ulet,6-15,Mashkull,4515
Fushe Kosove,2023,Fillor mesem i ulet,6-15,Femer,4130
Fushe Kosove,2023,Mesem i larte,15-18,Mashkull,668
Fushe Kosove,2023,Mesem i larte,15-18,Femer,655
Fushe Kosove,2023,Institucionet publike parauniversitare,18-19,Mashkull,5341
Fushe Kosove,2023,Institucionet publike parauniversitare,18-19,Femer,4905
Gjakove,2015,Para-fillor,5-6,Mashkull,610
Gjakove,2015,Para-fillor,5-6,Femer,497
Gjakove,2015,Fillor mesem i ulet,6-15,Mashkull,7135
Gjakove,2015,Fillor mesem i ulet,6-15,Femer,6494
Gjakove,2015,Mesem i larte,15-18,Mashkull,2335
Gjakove,2015,Mesem i larte,15-18,Femer,1953
Gjakove,2015,Institucionet publike parauniversitare,18-19,Mashkull,10219
Gjakove,2015,Institucionet publike parauniversitare,18-19,Femer,9065
Gjakove,2016,Para-fillor,5-6,Mashkull,574
Gjakove,2016,Para-fillor,5-6,Femer,546
Gjakove,2016,Fillor mesem i ulet,6-15,Mashkull,6871
Gjakove,2016,Fillor mesem i ulet,6-15,Femer,6045
Gjakove,2016,Mesem i larte,15-18,Mashkull,2302
Gjakove,2016,Mesem i larte,15-18,Femer,2049
Gjakove,2016,Institucionet publike parauniversitare,18-19,Mashkull,9908
Gjakove,2016,Institucionet publike parauniversitare,18-19,Femer,8770
Gjakove,2017,Para-fillor,5-6,Mashkull,635
Gjakove,2017,Para-fillor,5-6,Femer,510
Gjakove,2017,Fillor mesem i ulet,6-15,Mashkull,6506
Gjakove,2017,Fillor mesem i ulet,6-15,Femer,5826
Gjakove,2017,Mesem i larte,15-18,Mashkull,2341
Gjakove,2017,Mesem i larte,15-18,Femer,2214
Gjakove,2017,Institucionet publike parauniversitare,18-19,Mashkull,9651
Gjakove,2017,Institucionet publike parauniversitare,18-19,Femer,8666
Gjakove,2018,Para-fillor,5-6,Mashkull,611
Gjakove,2018,Para-fillor,5-6,Femer,514
Gjakove,2018,Fillor mesem i ulet,6-15,Mashkull,6218
Gjakove,2018,Fillor mesem i ulet,6-15,Femer,562
Gjakove,2018,Mesem i larte,15-18,Mashkull,2331
Gjakove,2018,Mesem i larte,15-18,Femer,2184
Gjakove,2018,Institucionet publike parauniversitare,18-19,Mashkull,9323
Gjakove,2018,Institucionet publike parauniversitare,18-19,Femer,8456
Gjakove,2019,Para-fillor,5-6,Mashkull,532
Gjakove,2019,Para-fillor,5-6,Femer,437
Gjakove,2019,Fillor mesem i ulet,6-15,Mashkull,6019
Gjakove,2019,Fillor mesem i ulet,6-15,Femer,5366
Gjakove,2019,Mesem i larte,15-18,Mashkull,2181
Gjakove,2019,Mesem i larte,15-18,Femer,2061
Gjakove,2019,Institucionet publike parauniversitare,18-19,Mashkull,8932
Gjakove,2019,Institucionet publike parauniversitare,18-19,Femer,8035
Gjakove,2020,Para-fillor,5-6,Mashkull,488
Gjakove,2020,Para-fillor,5-6,Femer,489
Gjakove,2020,Fillor mesem i ulet,6-15,Mashkull,5826
Gjakove,2020,Fillor mesem i ulet,6-15,Femer,5196
Gjakove,2020,Mesem i larte,15-18,Mashkull,2031
Gjakove,2020,Mesem i larte,15-18,Femer,1827
Gjakove,2020,Institucionet publike parauniversitare,18-19,Mashkull,8556
Gjakove,2020,Institucionet publike parauniversitare,18-19,Femer,7672
Gjakove,2021,Para-fillor,5-6,Mashkull,460
Gjakove,2021,Para-fillor,5-6,Femer,435
Gjakove,2021,Fillor mesem i ulet,6-15,Mashkull,5630
Gjakove,2021,Fillor mesem i ulet,6-15,Femer,5144
Gjakove,2021,Mesem i larte,15-18,Mashkull,1902
Gjakove,2021,Mesem i larte,15-18,Femer,1753
Gjakove,2021,Institucionet publike parauniversitare,18-19,Mashkull,8192
Gjakove,2021,Institucionet publike parauniversitare,18-19,Femer,7487
Gjakove,2022,Para-fillor,5-6,Mashkull,484
Gjakove,2022,Para-fillor,5-6,Femer,412
Gjakove,2022,Fillor mesem i ulet,6-15,Mashkull,5427
Gjakove,2022,Fillor mesem i ulet,6-15,Femer,5060
Gjakove,2022,Mesem i larte,15-18,Mashkull,1746
Gjakove,2022,Mesem i larte,15-18,Femer,1650
Gjakove,2022,Institucionet publike parauniversitare,18-19,Mashkull,7906
Gjakove,2022,Institucionet publike parauniversitare,18-19,Femer,7321
Gjakove,2023,Para-fillor,5-6,Mashkull,426
Gjakove,2023,Para-fillor,5-6,Femer,372
Gjakove,2023,Fillor mesem i ulet,6-15,Mashkull,5162
Gjakove,2023,Fillor mesem i ulet,6-15,Femer,4888
Gjakove,2023,Mesem i larte,15-18,Mashkull,1560
Gjakove,2023,Mesem i larte,15-18,Femer,1574
Gjakove,2023,Institucionet publike parauniversitare,18-19,Mashkull,7451
Gjakove,2023,Institucionet publike parauniversitare,18-19,Femer,7113
Gjilan,2015,Para-fillor,5-6,Mashkull,605
Gjilan,2015,Para-fillor,5-6,Femer,560
Gjilan,2015,Fillor mesem i ulet,6-15,Mashkull,6574
Gjilan,2015,Fillor mesem i ulet,6-15,Femer,6343
Gjilan,2015,Mesem i larte,15-18,Mashkull,2526
Gjilan,2015,Mesem i larte,15-18,Femer,2672
Gjilan,2015,Institucionet publike parauniversitare,18-19,Mashkull,9830
Gjilan,2015,Institucionet publike parauniversitare,18-19,Femer,9698
Gjilan,2016,Para-fillor,5-6,Mashkull,584
Gjilan,2016,Para-fillor,5-6,Femer,541
Gjilan,2016,Fillor mesem i ulet,6-15,Mashkull,6258
Gjilan,2016,Fillor mesem i ulet,6-15,Femer,6007
Gjilan,2016,Mesem i larte,15-18,Mashkull,2589
Gjilan,2016,Mesem i larte,15-18,Femer,2873
Gjilan,2016,Institucionet publike parauniversitare,18-19,Mashkull,9555
Gjilan,2016,Institucionet publike parauniversitare,18-19,Femer,9543
Gjilan,2017,Para-fillor,5-6,Mashkull,689
Gjilan,2017,Para-fillor,5-6,Femer,599
Gjilan,2017,Fillor mesem i ulet,6-15,Mashkull,5936
Gjilan,2017,Fillor mesem i ulet,6-15,Femer,5719
Gjilan,2017,Mesem i larte,15-18,Mashkull,2673
Gjilan,2017,Mesem i larte,15-18,Femer,2802
Gjilan,2017,Institucionet publike parauniversitare,18-19,Mashkull,9396
Gjilan,2017,Institucionet publike parauniversitare,18-19,Femer,9217
Gjilan,2018,Para-fillor,5-6,Mashkull,597
Gjilan,2018,Para-fillor,5-6,Femer,544
Gjilan,2018,Fillor mesem i ulet,6-15,Mashkull,5733
Gjilan,2018,Fillor mesem i ulet,6-15,Femer,5591
Gjilan,2018,Mesem i larte,15-18,Mashkull,2501
Gjilan,2018,Mesem i larte,15-18,Femer,2531
Gjilan,2018,Institucionet publike parauniversitare,18-19,Mashkull,9
Gjilan,2018,Institucionet publike parauniversitare,18-19,Femer,8819
Gjilan,2019,Para-fillor,5-6,Mashkull,656
Gjilan,2019,Para-fillor,5-6,Femer,575
Gjilan,2019,Fillor mesem i ulet,6-15,Mashkull,5553
Gjilan,2019,Fillor mesem i ulet,6-15,Femer,5326
Gjilan,2019,Mesem i larte,15-18,Mashkull,2311
Gjilan,2019,Mesem i larte,15-18,Femer,2367
Gjilan,2019,Institucionet publike parauniversitare,18-19,Mashkull,8699
Gjilan,2019,Institucionet publike parauniversitare,18-19,Femer,8430
Gjilan,2020,Para-fillor,5-6,Mashkull,579
Gjilan,2020,Para-fillor,5-6,Femer,492
Gjilan,2020,Fillor mesem i ulet,6-15,Mashkull,5440
Gjilan,2020,Fillor mesem i ulet,6-15,Femer,5188
Gjilan,2020,Mesem i larte,15-18,Mashkull,2082
Gjilan,2020,Mesem i larte,15-18,Femer,2326
Gjilan,2020,Institucionet publike parauniversitare,18-19,Mashkull,8293
Gjilan,2020,Institucionet publike parauniversitare,18-19,Femer,8182
Gjilan,2021,Para-fillor,5-6,Mashkull,528
Gjilan,2021,Para-fillor,5-6,Femer,500
Gjilan,2021,Fillor mesem i ulet,6-15,Mashkull,5336
Gjilan,2021,Fillor mesem i ulet,6-15,Femer,5017
Gjilan,2021,Mesem i larte,15-18,Mashkull,1983
Gjilan,2021,Mesem i larte,15-18,Femer,2197
Gjilan,2021,Institucionet publike parauniversitare,18-19,Mashkull,8043
Gjilan,2021,Institucionet publike parauniversitare,18-19,Femer,7920
Gjilan,2022,Para-fillor,5-6,Mashkull,544
Gjilan,2022,Para-fillor,5-6,Femer,539
Gjilan,2022,Fillor mesem i ulet,6-15,Mashkull,5144
Gjilan,2022,Fillor mesem i ulet,6-15,Femer,5044
Gjilan,2022,Mesem i larte,15-18,Mashkull,1903
Gjilan,2022,Mesem i larte,15-18,Femer,2019
Gjilan,2022,Institucionet publike parauniversitare,18-19,Mashkull,7809
Gjilan,2022,Institucionet publike parauniversitare,18-19,Femer,7829
Gjilan,2023,Para-fillor,5-6,Mashkull,554
Gjilan,2023,Para-fillor,5-6,Femer,542
Gjilan,2023,Fillor mesem i ulet,6-15,Mashkull,5122
Gjilan,2023,Fillor mesem i ulet,6-15,Femer,4997
Gjilan,2023,Mesem i larte,15-18,Mashkull,1795
Gjilan,2023,Mesem i larte,15-18,Femer,1860
Gjilan,2023,Institucionet publike parauniversitare,18-19,Mashkull,7701
Gjilan,2023,Institucionet publike parauniversitare,18-19,Femer,7613
Gllogovc,2015,Para-fillor,5-6,Mashkull,470
Gllogovc,2015,Para-fillor,5-6,Femer,443
Gllogovc,2015,Fillor mesem i ulet,6-15,Mashkull,4908
Gllogovc,2015,Fillor mesem i ulet,6-15,Femer,4514
Gllogovc,2015,Mesem i larte,15-18,Mashkull,1575
Gllogovc,2015,Mesem i larte,15-18,Femer,1414
Gllogovc,2015,Institucionet publike parauniversitare,18-19,Mashkull,7016
Gllogovc,2015,Institucionet publike parauniversitare,18-19,Femer,6438
Gllogovc,2016,Para-fillor,5-6,Mashkull,499
Gllogovc,2016,Para-fillor,5-6,Femer,485
Gllogovc,2016,Fillor mesem i ulet,6-15,Mashkull,4664
Gllogovc,2016,Fillor mesem i ulet,6-15,Femer,4284
Gllogovc,2016,Mesem i larte,15-18,Mashkull,1560
