Komuna,Viti Akademik,Niveli Akademik,Mosha,Gjinia,Numri i nxenesve,Komuna_encoded,Niveli Akademik_encoded,Mosha_encoded,Gjinia_encoded,TSNE-1,TSNE-2,Cluster
Dargash,2020,Fillor mesem i ulet,6-15,Mashkull,1329,0,0,3,1,-63.872917,-18.930168,2
Dargash,2020,Fillor mesem i ulet,6-15,Femer,1239,0,0,3,0,-39.601772,46.32127,3
Dargash,2020,Mesem i larte,15-18,Mashkull,250,0,2,0,1,27.708193,-58.816757,4
Dargash,2020,Mesem i larte,15-18,Femer,275,0,2,0,0,15.348331,44.658966,5
Dargash,2020,Institucionet publike parauniversitare,18-19,Mashkull,1705,0,1,1,1,-24.996191,-46.042557,6
Dargash,2020,Institucionet publike parauniversitare,18-19,Femer,1666,0,1,1,0,2.3805425,-3.8736596,7
Dargash,2021,Para-fillor,5-6,Mashkull,159,0,3,2,1,56.349255,1.5705924,0
Dargash,2021,Para-fillor,5-6,Femer,123,0,3,2,0,55.17851,43.359024,1
Dargash,2021,Fillor mesem i ulet,6-15,Mashkull,1406,0,0,3,1,-65.197296,-18.9412,2
Dargash,2021,Fillor mesem i ulet,6-15,Femer,1310,0,0,3,0,-40.975136,46.606834,3
Dargash,2021,Mesem i larte,15-18,Mashkull,237,0,2,0,1,27.133625,-60.678917,4
Dargash,2021,Mesem i larte,15-18,Femer,242,0,2,0,0,15.2851925,46.536827,5
Dargash,2021,Institucionet publike parauniversitare,18-19,Mashkull,1802,0,1,1,1,-25.346392,-47.137802,6
Dargash,2021,Institucionet publike parauniversitare,18-19,Femer,1675,0,1,1,0,1.179004,-3.5602727,7
Dargash,2022,Para-fillor,5-6,Mashkull,124,0,3,2,1,54.559055,2.157916,0
Dargash,2022,Para-fillor,5-6,Femer,128,0,3,2,0,54.81204,45.25377,1
Dargash,2022,Fillor mesem i ulet,6-15,Mashkull,1289,0,0,3,1,-66.2001,-18.884861,2
Dargash,2022,Fillor mesem i ulet,6-15,Femer,1176,0,0,3,0,-42.007957,46.75648,3
Dargash,2022,Mesem i larte,15-18,Mashkull,206,0,2,0,1,26.514074,-62.233078,4
Dargash,2022,Mesem i larte,15-18,Femer,231,0,2,0,0,15.083101,48.201393,5
Dargash,2022,Institucionet publike parauniversitare,18-19,Mashkull,1631,0,1,1,1,-25.474989,-48.044735,6
Dargash,2022,Institucionet publike parauniversitare,18-19,Femer,1549,0,1,1,0,0.24478139,-3.2751834,7
Dargash,2023,Para-fillor,5-6,Mashkull,106,0,3,2,1,53.399803,2.4412417,0
Dargash,2023,Para-fillor,5-6,Femer,123,0,3,2,0,54.51466,46.39998,1
Dargash,2023,Fillor mesem i ulet,6-15,Mashkull,1224,0,0,3,1,-66.87435,-18.83554,2
Dargash,2023,Fillor mesem i ulet,6-15,Femer,1104,0,0,3,0,-42.69184,46.854595,3
Dargash,2023,Mesem i larte,15-18,Mashkull,192,0,2,0,1,26.01,-63.19698,4
Dargash,2023,Mesem i larte,15-18,Femer,207,0,2,0,0,14.815075,49.270535,5
Dargash,2023,Institucionet publike parauniversitare,18-19,Mashkull,1535,0,1,1,1,-25.499023,-48.624744,6
Dargash,2023,Institucionet publike parauniversitare,18-19,Femer,1445,0,1,1,0,-0.35097066,-3.0909371,7
Deqan,2015,Para-fillor,5-6,Mashkull,249,1,3,2,1,68.525055,-4.687232,0
Deqan,2015,Para-fillor,5-6,Femer,267,1,3,2,0,55.46508,29.60615,1
Deqan,2015,Fillor mesem i ulet,6-15,Mashkull,2312,1,0,3,1,-57.223118,-18.611586,2
Deqan,2015,Fillor mesem i ulet,6-15,Femer,2223,1,0,3,0,-32.782055,45.084602,3
Deqan,2015,Mesem i larte,15-18,Mashkull,766,1,2,0,1,28.791162,-48.269882,4
Deqan,2015,Mesem i larte,15-18,Femer,630,1,2,0,0,13.6663265,33.91182,5
Deqan,2015,Institucionet publike parauniversitare,18-19,Mashkull,3327,1,1,1,1,-22.811258,-40.317772,6
Deqan,2015,Institucionet publike parauniversitare,18-19,Femer,3120,1,1,1,0,8.352895,-4.186057,7
Deqan,2016,Para-fillor,5-6,Mashkull,255,1,3,2,1,67.47515,-3.9713738,0
Deqan,2016,Para-fillor,5-6,Femer,228,1,3,2,0,55.59931,30.874397,1
Deqan,2016,Fillor mesem i ulet,6-15,Mashkull,2198,1,0,3,1,-58.01875,-18.762156,2
Deqan,2016,Fillor mesem i ulet,6-15,Femer,2110,1,0,3,0,-33.601192,45.273087,3
Deqan,2016,Mesem i larte,15-18,Mashkull,754,1,2,0,1,28.897087,-49.38731,4
Deqan,2016,Mesem i larte,15-18,Femer,574,1,2,0,0,14.136684,34.98772,5
Deqan,2016,Institucionet publike parauniversitare,18-19,Mashkull,3207,1,1,1,1,-23.117674,-40.991806,6
Deqan,2016,Institucionet publike parauniversitare,18-19,Femer,2912,1,1,1,0,7.621781,-4.3506227,7
Deqan,2017,Para-fillor,5-6,Mashkull,263,1,3,2,1,65.88294,-2.9917438,0
Deqan,2017,Para-fillor,5-6,Femer,242,1,3,2,0,55.678814,32.7888,1
Deqan,2017,Fillor mesem i ulet,6-15,Mashkull,2146,1,0,3,1,-59.12694,-18.922436,2
Deqan,2017,Fillor mesem i ulet,6-15,Femer,2050,1,0,3,0,-34.75531,45.518906,3
Deqan,2017,Mesem i larte,15-18,Mashkull,719,1,2,0,1,28.716326,-51.430103,4
Deqan,2017,Mesem i larte,15-18,Femer,566,1,2,0,0,14.502439,37.04683,5
Deqan,2017,Institucionet publike parauniversitare,18-19,Mashkull,3128,1,1,1,1,-23.597557,-42.00089,6
Deqan,2017,Institucionet publike parauniversitare,18-19,Femer,2858,1,1,1,0,6.587261,-4.514395,7
Deqan,2018,Para-fillor,5-6,Mashkull,240,1,3,2,1,63.49981,-1.7698106,0
Deqan,2018,Para-fillor,5-6,Femer,234,1,3,2,0,55.626884,35.46413,1
Deqan,2018,Fillor mesem i ulet,6-15,Mashkull,2078,1,0,3,1,-60.543,-19.057585,2
Deqan,2018,Fillor mesem i ulet,6-15,Femer,1971,1,0,3,0,-36.18951,45.79317,3
Deqan,2018,Mesem i larte,15-18,Mashkull,694,1,2,0,1,28.425486,-53.30499,4
Deqan,2018,Mesem i larte,15-18,Femer,517,1,2,0,0,14.6919155,38.912334,5
Deqan,2018,Institucionet publike parauniversitare,18-19,Mashkull,3012,1,1,1,1,-24.104424,-43.18904,6
Deqan,2018,Institucionet publike parauniversitare,18-19,Femer,2722,1,1,1,0,5.3015924,-4.506994,7
Deqan,2019,Para-fillor,5-6,Mashkull,262,1,3,2,1,61.04651,-0.6359395,0
Deqan,2019,Para-fillor,5-6,Femer,222,1,3,2,0,55.463577,38.186222,1
Deqan,2019,Fillor mesem i ulet,6-15,Mashkull,1971,1,0,3,1,-62.135254,-19.100925,2
Deqan,2019,Fillor mesem i ulet,6-15,Femer,1905,1,0,3,0,-37.718594,46.15,3
Deqan,2019,Mesem i larte,15-18,Mashkull,633,1,2,0,1,28.115475,-54.977253,4
Deqan,2019,Mesem i larte,15-18,Femer,502,1,2,0,0,14.794589,40.574394,5
Deqan,2019,Institucionet publike parauniversitare,18-19,Mashkull,2866,1,1,1,1,-24.659916,-44.45159,6
Deqan,2019,Institucionet publike parauniversitare,18-19,Femer,2629,1,1,1,0,3.8187695,-4.3706384,7
Deqan,2020,Para-fillor,5-6,Mashkull,230,1,3,2,1,58.57855,0.39200976,0
Deqan,2020,Para-fillor,5-6,Femer,209,1,3,2,0,55.210236,40.87917,1
Deqan,2020,Fillor mesem i ulet,6-15,Mashkull,1984,1,0,3,1,-63.741,-19.11564,2
Deqan,2020,Fillor mesem i ulet,6-15,Femer,1813,1,0,3,0,-39.459553,46.47248,3
Deqan,2020,Mesem i larte,15-18,Mashkull,556,1,2,0,1,27.46311,-58.65563,4
Deqan,2020,Mesem i larte,15-18,Femer,507,1,2,0,0,15.097017,44.559372,5
Deqan,2020,Institucionet publike parauniversitare,18-19,Mashkull,2770,1,1,1,1,-25.150383,-45.769157,6
Deqan,2020,Institucionet publike parauniversitare,18-19,Femer,2529,1,1,1,0,2.396365,-4.075522,7
Deqan,2021,Para-fillor,5-6,Mashkull,220,1,3,2,1,56.241577,1.3190606,0
Deqan,2021,Para-fillor,5-6,Femer,243,1,3,2,0,54.90192,43.32124,1
Deqan,2021,Fillor mesem i ulet,6-15,Mashkull,1951,1,0,3,1,-65.14575,-19.084063,2
Deqan,2021,Fillor mesem i ulet,6-15,Femer,1755,1,0,3,0,-40.908627,46.719112,3
Deqan,2021,Mesem i larte,15-18,Mashkull,551,1,2,0,1,26.889812,-60.557175,4
Deqan,2021,Mesem i larte,15-18,Femer,492,1,2,0,0,15.044204,46.495754,5
Deqan,2021,Institucionet publike parauniversitare,18-19,Mashkull,2722,1,1,1,1,-25.458035,-46.976192,6
Deqan,2021,Institucionet publike parauniversitare,18-19,Femer,2490,1,1,1,0,1.1505316,-3.7303295,7
Deqan,2022,Para-fillor,5-6,Mashkull,185,1,3,2,1,54.454685,1.9029009,0
Deqan,2022,Para-fillor,5-6,Femer,214,1,3,2,0,54.529633,45.20546,1
Deqan,2022,Fillor mesem i ulet,6-15,Mashkull,1858,1,0,3,1,-66.18958,-19.048492,2
Deqan,2022,Fillor mesem i ulet,6-15,Femer,1729,1,0,3,0,-41.967213,46.928665,3
Deqan,2022,Mesem i larte,15-18,Mashkull,519,1,2,0,1,26.244623,-62.1686,4
Deqan,2022,Mesem i larte,15-18,Femer,463,1,2,0,0,14.834505,48.20112,5
Deqan,2022,Institucionet publike parauniversitare,18-19,Mashkull,2562,1,1,1,1,-25.543873,-47.951694,6
Deqan,2022,Institucionet publike parauniversitare,18-19,Femer,2406,1,1,1,0,0.18618342,-3.423436,7
Deqan,2023,Para-fillor,5-6,Mashkull,203,1,3,2,1,53.22825,2.2314246,0
Deqan,2023,Para-fillor,5-6,Femer,174,1,3,2,0,54.23585,46.446774,1
Deqan,2023,Fillor mesem i ulet,6-15,Mashkull,1781,1,0,3,1,-66.90228,-18.981747,2
Deqan,2023,Fillor mesem i ulet,6-15,Femer,1687,1,0,3,0,-42.686253,47.047592,3
Deqan,2023,Mesem i larte,15-18,Mashkull,503,1,2,0,1,25.711063,-63.200726,4
Deqan,2023,Mesem i larte,15-18,Femer,420,1,2,0,0,14.561884,49.346394,5
Deqan,2023,Institucionet publike parauniversitare,18-19,Mashkull,2487,1,1,1,1,-25.526897,-48.605167,6
Deqan,2023,Institucionet publike parauniversitare,18-19,Femer,2281,1,1,1,0,-0.43146247,-3.1767404,7
Ferizaj,2015,Para-fillor,5-6,Mashkull,890,2,3,2,1,68.521645,-5.076319,0
Ferizaj,2015,Para-fillor,5-6,Femer,791,2,3,2,0,55.115337,29.468271,1
Ferizaj,2015,Fillor mesem i ulet,6-15,Mashkull,8852,2,0,3,1,-57.715458,-23.64262,2
Ferizaj,2015,Fillor mesem i ulet,6-15,Femer,8387,2,0,3,0,-32.88499,49.76226,3
Ferizaj,2015,Mesem i larte,15-18,Mashkull,3284,2,2,0,1,27.615585,-48.256527,4
Ferizaj,2015,Mesem i larte,15-18,Femer,3162,2,2,0,0,12.574502,34.336052,5
Ferizaj,2015,Institucionet publike parauniversitare,18-19,Mashkull,13187,2,1,1,1,-29.879826,-37.68026,6
Ferizaj,2015,Institucionet publike parauniversitare,18-19,Femer,12509,2,1,1,0,1.9920458,-12.250785,7
Ferizaj,2016,Para-fillor,5-6,Mashkull,827,2,3,2,1,67.31561,-4.33882,0
Ferizaj,2016,Para-fillor,5-6,Femer,792,2,3,2,0,55.211582,30.848934,1
Ferizaj,2016,Fillor mesem i ulet,6-15,Mashkull,8566,2,0,3,1,-58.17318,-23.669,2
Ferizaj,2016,Fillor mesem i ulet,6-15,Femer,8188,2,0,3,0,-33.33429,49.840744,3
Ferizaj,2016,Mesem i larte,15-18,Mashkull,3529,2,2,0,1,27.470488,-49.366367,4
Ferizaj,2016,Mesem i larte,15-18,Femer,3256,2,2,0,0,12.763181,35.42547,5
Ferizaj,2016,Institucionet publike parauniversitare,18-19,Mashkull,13077,2,1,1,1,-29.969242,-37.94019,6
Ferizaj,2016,Institucionet publike parauniversitare,18-19,Femer,12387,2,1,1,0,1.7250272,-12.068048,7
Ferizaj,2017,Para-fillor,5-6,Mashkull,860,2,3,2,1,65.531715,-3.2493296,0
Ferizaj,2017,Para-fillor,5-6,Femer,825,2,3,2,0,55.30076,32.949024,1
Ferizaj,2017,Fillor mesem i ulet,6-15,Mashkull,8331,2,0,3,1,-58.900887,-23.711046,2
Ferizaj,2017,Fillor mesem i ulet,6-15,Femer,7992,2,0,3,0,-34.023155,49.976685,3
Ferizaj,2017,Mesem i larte,15-18,Mashkull,3489,2,2,0,1,27.417517,-50.295612,4
Ferizaj,2017,Mesem i larte,15-18,Femer,3293,2,2,0,0,12.980876,36.36646,5
Ferizaj,2017,Institucionet publike parauniversitare,18-19,Mashkull,12858,2,1,1,1,-30.087507,-38.37295,6
Ferizaj,2017,Institucionet publike parauniversitare,18-19,Femer,12235,2,1,1,0,1.3251847,-11.791633,7
Ferizaj,2018,Para-fillor,5-6,Mashkull,842,2,3,2,1,63.63068,-2.2557545,0
Ferizaj,2018,Para-fillor,5-6,Femer,818,2,3,2,0,55.265564,35.127693,1
Ferizaj,2018,Fillor mesem i ulet,6-15,Mashkull,8124,2,0,3,1,-59.913055,-23.772385,2
Ferizaj,2018,Fillor mesem i ulet,6-15,Femer,7747,2,0,3,0,-35.028793,50.172646,3
Ferizaj,2018,Mesem i larte,15-18,Mashkull,321,2,2,0,1,28.333149,-53.348946,4
Ferizaj,2018,Mesem i larte,15-18,Femer,31,2,2,0,0,14.698167,38.96897,5
Ferizaj,2018,Institucionet publike parauniversitare,18-19,Mashkull,1236,2,1,1,1,-23.550362,-43.830357,6
Ferizaj,2018,Institucionet publike parauniversitare,18-19,Femer,11806,2,1,1,0,0.8617215,-11.371022,7
Ferizaj,2019,Para-fillor,5-6,Mashkull,774,2,3,2,1,61.20649,-1.0974187,0
Ferizaj,2019,Para-fillor,5-6,Femer,732,2,3,2,0,55.13202,37.82555,1
Ferizaj,2019,Fillor mesem i ulet,6-15,Mashkull,8006,2,0,3,1,-61.201088,-23.866829,2
Ferizaj,2019,Fillor mesem i ulet,6-15,Femer,7816,2,0,3,0,-36.335842,50.540363,3
Ferizaj,2019,Mesem i larte,15-18,Mashkull,3061,2,2,0,1,27.035166,-56.259342,4
Ferizaj,2019,Mesem i larte,15-18,Femer,3159,2,2,0,0,14.203134,42.253872,5
Ferizaj,2019,Institucionet publike parauniversitare,18-19,Mashkull,11959,2,1,1,1,-30.446932,-40.215267,6
Ferizaj,2019,Institucionet publike parauniversitare,18-19,Femer,11800,2,1,1,0,0.25109315,-10.958349,7
Ferizaj,2020,Para-fillor,5-6,Mashkull,767,2,3,2,1,58.753815,-0.03820325,0
Ferizaj,2020,Para-fillor,5-6,Femer,683,2,3,2,0,54.917988,40.5303,1
Ferizaj,2020,Fillor mesem i ulet,6-15,Mashkull,7869,2,0,3,1,-62.61743,-23.936073,2
Ferizaj,2020,Fillor mesem i ulet,6-15,Femer,7542,2,0,3,0,-37.845383,50.84209,3
Ferizaj,2020,Mesem i larte,15-18,Mashkull,2945,2,2,0,1,26.790646,-57.34376,4
Ferizaj,2020,Mesem i larte,15-18,Femer,3073,2,2,0,0,14.222733,43.276722,5
Ferizaj,2020,Institucionet publike parauniversitare,18-19,Mashkull,11660,2,1,1,1,-30.682604,-40.969913,6
Ferizaj,2020,Institucionet publike parauniversitare,18-19,Femer,11373,2,1,1,0,-0.34364492,-10.415305,7
Ferizaj,2021,Para-fillor,5-6,Mashkull,769,2,3,2,1,56.328297,0.92970645,0
Ferizaj,2021,Para-fillor,5-6,Femer,781,2,3,2,0,54.591995,43.12849,1
Ferizaj,2021,Fillor mesem i ulet,6-15,Mashkull,7693,2,0,3,1,-63.879032,-23.936283,2
Ferizaj,2021,Fillor mesem i ulet,6-15,Femer,7278,2,0,3,0,-39.08872,51.022804,3
Ferizaj,2021,Mesem i larte,15-18,Mashkull,2975,2,2,0,1,25.977873,-59.482086,4
Ferizaj,2021,Mesem i larte,15-18,Femer,2830,2,2,0,0,13.907672,45.74182,5
Ferizaj,2021,Institucionet publike parauniversitare,18-19,Mashkull,11546,2,1,1,1,-30.902012,-41.58786,6
Ferizaj,2021,Institucionet publike parauniversitare,18-19,Femer,10989,2,1,1,0,-0.87848634,-9.905209,7
Ferizaj,2022,Para-fillor,5-6,Mashkull,731,2,3,2,1,54.310017,1.5659922,0
Ferizaj,2022,Para-fillor,5-6,Femer,731,2,3,2,0,54.176094,45.17554,1
Ferizaj,2022,Fillor mesem i ulet,6-15,Mashkull,7561,2,0,3,1,-64.80726,-23.91255,2
Ferizaj,2022,Fillor mesem i ulet,6-15,Femer,7477,2,0,3,0,-39.926495,51.23677,3
Ferizaj,2022,Mesem i larte,15-18,Mashkull,2715,2,2,0,1,25.364456,-61.400085,4
Ferizaj,2022,Mesem i larte,15-18,Femer,2800,2,2,0,0,13.742914,47.672405,5
Ferizaj,2022,Institucionet publike parauniversitare,18-19,Mashkull,11117,2,1,1,1,-31.017147,-42.176495,6
Ferizaj,2022,Institucionet publike parauniversitare,18-19,Femer,11127,2,1,1,0,-1.3032191,-9.629777,7
Ferizaj,2023,Para-fillor,5-6,Mashkull,673,2,3,2,1,52.990986,1.9816707,0
Ferizaj,2023,Para-fillor,5-6,Femer,748,2,3,2,0,53.90651,46.55254,1
Ferizaj,2023,Fillor mesem i ulet,6-15,Mashkull,7517,2,0,3,1,-65.42248,-23.877556,2
Ferizaj,2023,Fillor mesem i ulet,6-15,Femer,7357,2,0,3,0,-40.52519,51.28764,3
Ferizaj,2023,Mesem i larte,15-18,Mashkull,2537,2,2,0,1,24.974768,-62.756924,4
Ferizaj,2023,Mesem i larte,15-18,Femer,2724,2,2,0,0,13.6733,49.04325,5
Ferizaj,2023,Institucionet publike parauniversitare,18-19,Mashkull,10857,2,1,1,1,-31.106314,-42.618805,6
Ferizaj,2023,Institucionet publike parauniversitare,18-19,Femer,10990,2,1,1,0,-1.5780916,-9.368792,7
Fushe Kosove,2015,Para-fillor,5-6,Mashkull,98,3,3,2,1,68.46386,-5.3510413,0
Fushe Kosove,2015,Para-fillor,5-6,Femer,87,3,3,2,0,54.862385,29.345179,1
Fushe Kosove,2015,Fillor mesem i ulet,6-15,Mashkull,2983,3,0,3,1,-56.973145,-18.790308,2
Fushe Kosove,2015,Fillor mesem i ulet,6-15,Femer,2755,3,0,3,0,-32.55059,45.194534,3
Fushe Kosove,2015,Mesem i larte,15-18,Mashkull,751,3,2,0,1,28.400604,-47.911804,4
Fushe Kosove,2015,Mesem i larte,15-18,Femer,747,3,2,0,0,13.116636,33.69007,5
Fushe Kosove,2015,Institucionet publike parauniversitare,18-19,Mashkull,3894,3,1,1,1,-22.38686,-40.297592,6
Fushe Kosove,2015,Institucionet publike parauniversitare,18-19,Femer,3645,3,1,1,0,8.430513,-3.7448645,7
Fushe Kosove,2016,Para-fillor,5-6,Mashkull,85,3,3,2,1,67.25187,-4.6191106,0
Fushe Kosove,2016,Para-fillor,5-6,Femer,79,3,3,2,0,54.91828,30.76602,1
Fushe Kosove,2016,Fillor mesem i ulet,6-15,Mashkull,3147,3,0,3,1,-57.805397,-19.301805,2
Fushe Kosove,2016,Fillor mesem i ulet,6-15,Femer,2848,3,0,3,0,-33.37075,45.694542,3
Fushe Kosove,2016,Mesem i larte,15-18,Mashkull,787,3,2,0,1,28.493198,-49.207,4
Fushe Kosove,2016,Mesem i larte,15-18,Femer,816,3,2,0,0,13.592162,34.9195,5
Fushe Kosove,2016,Institucionet publike parauniversitare,18-19,Mashkull,4094,3,1,1,1,-22.633324,-40.99588,6
Fushe Kosove,2016,Institucionet publike parauniversitare,18-19,Femer,3810,3,1,1,0,7.6490645,-3.8202674,7
Fushe Kosove,2017,Para-fillor,5-6,Mashkull,82,3,3,2,1,65.587776,-3.564785,0
Fushe Kosove,2017,Para-fillor,5-6,Femer,78,3,3,2,0,55.027645,32.76453,1
Fushe Kosove,2017,Fillor mesem i ulet,6-15,Mashkull,3296,3,0,3,1,-58.990963,-19.680891,2
Fushe Kosove,2017,Fillor mesem i ulet,6-15,Femer,2974,3,0,3,0,-34.55537,46.13207,3
Fushe Kosove,2017,Mesem i larte,15-18,Mashkull,801,3,2,0,1,28.253332,-51.335617,4
Fushe Kosove,2017,Mesem i larte,15-18,Femer,875,3,2,0,0,13.929629,37.05289,5
Fushe Kosove,2017,Institucionet publike parauniversitare,18-19,Mashkull,4261,3,1,1,1,-23.256987,-41.836037,6
Fushe Kosove,2017,Institucionet publike parauniversitare,18-19,Femer,3999,3,1,1,0,6.5528345,-4.0599713,7
Fushe Kosove,2018,Para-fillor,5-6,Mashkull,73,3,3,2,1,63.161987,-2.307297,0
Fushe Kosove,2018,Para-fillor,5-6,Femer,73,3,3,2,0,54.974293,35.489765,1
Fushe Kosove,2018,Fillor mesem i ulet,6-15,Mashkull,3483,3,0,3,1,-60.44054,-20.219273,2
Fushe Kosove,2018,Fillor mesem i ulet,6-15,Femer,3185,3,0,3,0,-36.00323,46.84739,3
Fushe Kosove,2018,Mesem i larte,15-18,Mashkull,744,3,2,0,1,27.889229,-53.267868,4
Fushe Kosove,2018,Mesem i larte,15-18,Femer,858,3,2,0,0,14.065094,39.02533,5
Fushe Kosove,2018,Institucionet publike parauniversitare,18-19,Mashkull,4369,3,1,1,1,-24.615702,-42.70684,6
Fushe Kosove,2018,Institucionet publike parauniversitare,18-19,Femer,4178,3,1,1,0,4.9389286,-5.0787745,7
Fushe Kosove,2019,Para-fillor,5-6,Mashkull,61,3,3,2,1,60.738876,-1.1854038,0
Fushe Kosove,2019,Para-fillor,5-6,Femer,74,3,3,2,0,54.81564,38.167465,1
Fushe Kosove,2019,Fillor mesem i ulet,6-15,Mashkull,3624,3,0,3,1,-61.895336,-20.769644,2
Fushe Kosove,2019,Fillor mesem i ulet,6-15,Femer,3346,3,0,3,0,-37.44653,47.61063,3
Fushe Kosove,2019,Mesem i larte,15-18,Mashkull,755,3,2,0,1,27.553822,-55.026695,4
Fushe Kosove,2019,Mesem i larte,15-18,Femer,809,3,2,0,0,14.19237,40.87511,5
Fushe Kosove,2019,Institucionet publike parauniversitare,18-19,Mashkull,4528,3,1,1,1,-25.653513,-43.62441,6
Fushe Kosove,2019,Institucionet publike parauniversitare,18-19,Femer,4288,3,1,1,0,3.323611,-5.411617,7
Fushe Kosove,2020,Para-fillor,5-6,Mashkull,74,3,3,2,1,58.297104,-0.19600227,0
Fushe Kosove,2020,Para-fillor,5-6,Femer,67,3,3,2,0,54.54886,40.774834,1
Fushe Kosove,2020,Fillor mesem i ulet,6-15,Mashkull,3806,3,0,3,1,-63.274494,-21.288525,2
Fushe Kosove,2020,Fillor mesem i ulet,6-15,Femer,3549,3,0,3,0,-38.777985,48.34868,3
Fushe Kosove,2020,Mesem i larte,15-18,Mashkull,754,3,2,0,1,26.918774,-58.41191,4
Fushe Kosove,2020,Mesem i larte,15-18,Femer,774,3,2,0,0,14.455145,44.418716,5
Fushe Kosove,2020,Institucionet publike parauniversitare,18-19,Mashkull,4702,3,1,1,1,-26.770145,-44.257423,6
